date,value
1969-06-01,36.6000
1969-07-01,36.8000
1969-08-01,36.9000
1969-09-01,37.1000
1969-10-01,37.3000
1969-11-01,37.5000
1969-12-01,37.7000
1970-01-01,37.9000
1970-02-01,38.1000
1970-03-01,38.3000
1970-04-01,38.5000
1970-05-01,38.6000
1970-06-01,38.8000
1970-07-01,38.9000
1970-08-01,39.0000
1970-09-01,39.2000
1970-10-01,39.4000
1970-11-01,39.6000
1970-12-01,39.8000
1971-01-01,39.9000
1971-02-01,39.9000
1971-03-01,40.0000
1971-04-01,40.1000
1971-05-01,40.3000
1971-06-01,40.5000
1971-07-01,40.6000
1971-08-01,40.7000
1971-09-01,40.8000
1971-10-01,40.9000
1971-11-01,41.0000
1971-12-01,41.1000
1972-01-01,41.2000
1972-02-01,41.4000
1972-03-01,41.4000
1972-04-01,41.5000
1972-05-01,41.6000
1972-06-01,41.7000
1972-07-01,41.8000
1972-08-01,41.9000
1972-09-01,42.1000
1972-10-01,42.2000
1972-11-01,42.4000
1972-12-01,42.5000
1973-01-01,42.7000
1973-02-01,43.0000
1973-03-01,43.4000
1973-04-01,43.7000
1973-05-01,43.9000
1973-06-01,44.2000
1973-07-01,44.2000
1973-08-01,45.0000
1973-09-01,45.2000
1973-10-01,45.6000
1973-11-01,45.9000
1973-12-01,46.3000
1974-01-01,46.8000
1974-02-01,47.3000
1974-03-01,47.8000
1974-04-01,48.1000
1974-05-01,48.6000
1974-06-01,49.0000
1974-07-01,49.3000
1974-08-01,49.9000
1974-09-01,50.6000
1974-10-01,51.0000
1974-11-01,51.5000
1974-12-01,51.9000
1975-01-01,52.3000
1975-02-01,52.6000
1975-03-01,52.8000
1975-04-01,53.0000
1975-05-01,53.1000
1975-06-01,53.5000
1975-07-01,54.0000
1975-08-01,54.2000
1975-09-01,54.6000
1975-10-01,54.9000
1975-11-01,55.3000
1975-12-01,55.6000
1976-01-01,55.8000
1976-02-01,55.9000
1976-03-01,56.0000
1976-04-01,56.1000
1976-05-01,56.4000
1976-06-01,56.7000
1976-07-01,57.0000
1976-08-01,57.3000
1976-09-01,57.6000
1976-10-01,57.9000
1976-11-01,58.1000
1976-12-01,58.4000
1977-01-01,58.7000
1977-02-01,59.3000
1977-03-01,59.6000
1977-04-01,60.0000
1977-05-01,60.2000
1977-06-01,60.5000
1977-07-01,60.8000
1977-08-01,61.1000
1977-09-01,61.3000
1977-10-01,61.6000
1977-11-01,62.0000
1977-12-01,62.3000
1978-01-01,62.7000
1978-02-01,63.0000
1978-03-01,63.4000
1978-04-01,63.9000
1978-05-01,64.5000
1978-06-01,65.0000
1978-07-01,65.5000
1978-08-01,65.9000
1978-09-01,66.5000
1978-10-01,67.1000
1978-11-01,67.5000
1978-12-01,67.9000
1979-01-01,68.5000
1979-02-01,69.2000
1979-03-01,69.9000
1979-04-01,70.6000
1979-05-01,71.4000
1979-06-01,72.2000
1979-07-01,73.0000
1979-08-01,73.7000
1979-09-01,74.4000
1979-10-01,75.2000
1979-11-01,76.0000
1979-12-01,76.9000
1980-01-01,78.0000
1980-02-01,79.0000
1980-03-01,80.1000
1980-04-01,80.9000
1980-05-01,81.7000
1980-06-01,82.5000
1980-07-01,82.6000
1980-08-01,83.2000
1980-09-01,83.9000
1980-10-01,84.7000
1980-11-01,85.6000
1980-12-01,86.4000
1981-01-01,87.2000
1981-02-01,88.0000
1981-03-01,88.6000
1981-04-01,89.1000
1981-05-01,89.7000
1981-06-01,90.5000
1981-07-01,91.5000
1981-08-01,92.2000
1981-09-01,93.1000
1981-10-01,93.4000
1981-11-01,93.8000
1981-12-01,94.1000
1982-01-01,94.4000
1982-02-01,94.7000
1982-03-01,94.7000
1982-04-01,95.0000
1982-05-01,95.9000
1982-06-01,97.0000
1982-07-01,97.5000
1982-08-01,97.7000
1982-09-01,97.7000
1982-10-01,98.1000
1982-11-01,98.0000
1982-12-01,97.7000
1983-01-01,97.9000
1983-02-01,98.0000
1983-03-01,98.1000
1983-04-01,98.8000
1983-05-01,99.2000
1983-06-01,99.4000
1983-07-01,99.8000
1983-08-01,100.1000
1983-09-01,100.4000
1983-10-01,100.8000
1983-11-01,101.1000
1983-12-01,101.4000
1984-01-01,102.1000
1984-02-01,102.6000
1984-03-01,102.9000
1984-04-01,103.3000
1984-05-01,103.5000
1984-06-01,103.7000
1984-07-01,104.1000
1984-08-01,104.4000
1984-09-01,104.7000
1984-10-01,105.1000
1984-11-01,105.3000
1984-12-01,105.5000
1985-01-01,105.7000
1985-02-01,106.3000
1985-03-01,106.8000
1985-04-01,107.0000
1985-05-01,107.2000
1985-06-01,107.5000
1985-07-01,107.7000
1985-08-01,107.9000
1985-09-01,108.1000
1985-10-01,108.5000
1985-11-01,109.0000
1985-12-01,109.5000
1986-01-01,109.9000
1986-02-01,109.7000
1986-03-01,109.1000
1986-04-01,108.7000
1986-05-01,109.0000
1986-06-01,109.4000
1986-07-01,109.5000
1986-08-01,109.6000
1986-09-01,110.0000
1986-10-01,110.2000
1986-11-01,110.4000
1986-12-01,110.8000
1987-01-01,111.4000
1987-02-01,111.8000
1987-03-01,112.2000
1987-04-01,112.7000
1987-05-01,113.0000
1987-06-01,113.5000
1987-07-01,113.8000
1987-08-01,114.3000
1987-09-01,114.7000
1987-10-01,115.0000
1987-11-01,115.4000
1987-12-01,115.6000
1988-01-01,116.0000
1988-02-01,116.2000
1988-03-01,116.5000
1988-04-01,117.2000
1988-05-01,117.5000
1988-06-01,118.0000
1988-07-01,118.5000
1988-08-01,119.0000
1988-09-01,119.5000
1988-10-01,119.9000
1988-11-01,120.3000
1988-12-01,120.7000
1989-01-01,121.2000
1989-02-01,121.6000
1989-03-01,122.2000
1989-04-01,123.1000
1989-05-01,123.7000
1989-06-01,124.1000
1989-07-01,124.5000
1989-08-01,124.5000
1989-09-01,124.8000
1989-10-01,125.4000
1989-11-01,125.9000
1989-12-01,126.3000
1990-01-01,127.5000
1990-02-01,128.0000
1990-03-01,128.6000
1990-04-01,128.9000
1990-05-01,129.1000
1990-06-01,129.9000
1990-07-01,130.5000
1990-08-01,131.6000
1990-09-01,132.5000
1990-10-01,133.4000
1990-11-01,133.7000
1990-12-01,134.2000
1991-01-01,134.7000
1991-02-01,134.8000
1991-03-01,134.8000
1991-04-01,135.1000
1991-05-01,135.6000
1991-06-01,136.0000
1991-07-01,136.2000
1991-08-01,136.6000
1991-09-01,137.0000
1991-10-01,137.2000
1991-11-01,137.8000
1991-12-01,138.2000
1992-01-01,138.3000
1992-02-01,138.6000
1992-03-01,139.1000
1992-04-01,139.4000
1992-05-01,139.7000
1992-06-01,140.1000
1992-07-01,140.5000
1992-08-01,140.8000
1992-09-01,141.1000
1992-10-01,141.7000
1992-11-01,142.1000
1992-12-01,142.3000
1993-01-01,142.8000
1993-02-01,143.1000
1993-03-01,143.3000
1993-04-01,143.8000
1993-05-01,144.2000
1993-06-01,144.3000
1993-07-01,144.5000
1993-08-01,144.8000
1993-09-01,145.0000
1993-10-01,145.6000
1993-11-01,146.0000
1993-12-01,146.3000
1994-01-01,146.3000
1994-02-01,146.7000
1994-03-01,147.1000
1994-04-01,147.2000
1994-05-01,147.5000
1994-06-01,147.9000
1994-07-01,148.4000
1994-08-01,149.0000
1994-09-01,149.3000
1994-10-01,149.4000
1994-11-01,149.8000
1994-12-01,150.1000
1995-01-01,150.5000
1995-02-01,150.9000
1995-03-01,151.2000
1995-04-01,151.8000
1995-05-01,152.1000
1995-06-01,152.4000
1995-07-01,152.6000
1995-08-01,152.9000
1995-09-01,153.1000
1995-10-01,153.5000
1995-11-01,153.7000
1995-12-01,153.9000
1996-01-01,154.7000
1996-02-01,155.0000
1996-03-01,155.5000
1996-04-01,156.1000
1996-05-01,156.4000
1996-06-01,156.7000
1996-07-01,157.0000
1996-08-01,157.2000
1996-09-01,157.7000
1996-10-01,158.2000
1996-11-01,158.7000
1996-12-01,159.1000
1997-01-01,159.4000
1997-02-01,159.7000
1997-03-01,159.8000
1997-04-01,159.9000
1997-05-01,159.9000
1997-06-01,160.2000
1997-07-01,160.4000
1997-08-01,160.8000
1997-09-01,161.2000
1997-10-01,161.5000
1997-11-01,161.7000
1997-12-01,161.8000
1998-01-01,162.0000
1998-02-01,162.0000
1998-03-01,162.0000
1998-04-01,162.2000
1998-05-01,162.6000
1998-06-01,162.8000
1998-07-01,163.2000
1998-08-01,163.4000
1998-09-01,163.5000
1998-10-01,163.9000
1998-11-01,164.1000
1998-12-01,164.4000
1999-01-01,164.7000
1999-02-01,164.7000
1999-03-01,164.8000
1999-04-01,165.9000
1999-05-01,166.0000
1999-06-01,166.0000
1999-07-01,166.7000
1999-08-01,167.1000
1999-09-01,167.8000
1999-10-01,168.1000
1999-11-01,168.4000
1999-12-01,168.8000
2000-01-01,169.3000
2000-02-01,170.0000
2000-03-01,171.0000
2000-04-01,170.9000
2000-05-01,171.2000
2000-06-01,172.2000
2000-07-01,172.7000
2000-08-01,172.7000
2000-09-01,173.6000
2000-10-01,173.9000
2000-11-01,174.2000
2000-12-01,174.6000
2001-01-01,175.6000
2001-02-01,176.0000
2001-03-01,176.1000
2001-04-01,176.4000
2001-05-01,177.3000
2001-06-01,177.7000
2001-07-01,177.4000
2001-08-01,177.4000
2001-09-01,178.1000
2001-10-01,177.6000
2001-11-01,177.5000
2001-12-01,177.4000
2002-01-01,177.7000
2002-02-01,178.0000
2002-03-01,178.5000
2002-04-01,179.3000
2002-05-01,179.5000
2002-06-01,179.6000
2002-07-01,180.0000
2002-08-01,180.5000
2002-09-01,180.8000
2002-10-01,181.2000
2002-11-01,181.5000
2002-12-01,181.8000
2003-01-01,182.6000
2003-02-01,183.6000
2003-03-01,183.9000
2003-04-01,183.2000
2003-05-01,182.9000
2003-06-01,183.1000
2003-07-01,183.7000
2003-08-01,184.5000
2003-09-01,185.1000
2003-10-01,184.9000
2003-11-01,185.0000
2003-12-01,185.5000
2004-01-01,186.3000
2004-02-01,186.7000
2004-03-01,187.1000
2004-04-01,187.4000
2004-05-01,188.2000
2004-06-01,188.9000
2004-07-01,189.1000
2004-08-01,189.2000
2004-09-01,189.8000
2004-10-01,190.8000
2004-11-01,191.7000
2004-12-01,191.7000
2005-01-01,191.6000
2005-02-01,192.4000
2005-03-01,193.1000
2005-04-01,193.7000
2005-05-01,193.6000
2005-06-01,193.7000
2005-07-01,194.9000
2005-08-01,196.1000
2005-09-01,198.8000
2005-10-01,199.1000
2005-11-01,198.1000
2005-12-01,198.1000
2006-01-01,199.3000
2006-02-01,199.4000
2006-03-01,199.7000
2006-04-01,200.7000
2006-05-01,201.3000
2006-06-01,201.8000
2006-07-01,202.9000
2006-08-01,203.8000
2006-09-01,202.8000
2006-10-01,201.9000
2006-11-01,202.0000
2006-12-01,203.1000
2007-01-01,203.4370
2007-02-01,204.2260
2007-03-01,205.2880
2007-04-01,205.9040
2007-05-01,206.7550
2007-06-01,207.2340
2007-07-01,207.6030
2007-08-01,207.6670
2007-09-01,208.5470
2007-10-01,209.1900
2007-11-01,210.8340
2007-12-01,211.4450
2008-01-01,212.1740
2008-02-01,212.6870
2008-03-01,213.4480
2008-04-01,213.9420
2008-05-01,215.2080
2008-06-01,217.4630
2008-07-01,219.0160
2008-08-01,218.6900
2008-09-01,218.8770
2008-10-01,216.9950
2008-11-01,213.1530
2008-12-01,211.3980
2009-01-01,211.9330
2009-02-01,212.7050
2009-03-01,212.4950
2009-04-01,212.7090
2009-05-01,213.0220
2009-06-01,214.7900
2009-07-01,214.7260
2009-08-01,215.4450
2009-09-01,215.8610
2009-10-01,216.5090
2009-11-01,217.2340
2009-12-01,217.3470
2010-01-01,217.4880
2010-02-01,217.2810
2010-03-01,217.3530
2010-04-01,217.4030
2010-05-01,217.2900
2010-06-01,217.1990
2010-07-01,217.6050
2010-08-01,217.9230
2010-09-01,218.2750
2010-10-01,219.0350
2010-11-01,219.5900
2010-12-01,220.4720
2011-01-01,221.1870
2011-02-01,221.8980
2011-03-01,223.0460
2011-04-01,224.0930
2011-05-01,224.8060
2011-06-01,224.8060
2011-07-01,225.3950
2011-08-01,226.1060
2011-09-01,226.5970
2011-10-01,226.7500
2011-11-01,227.1690
2011-12-01,227.2230
2012-01-01,227.8420
2012-02-01,228.3290
2012-03-01,228.8070
2012-04-01,229.1870
2012-05-01,228.7130
2012-06-01,228.5240
2012-07-01,228.5900
2012-08-01,229.9180
2012-09-01,231.0150
2012-10-01,231.6380
2012-11-01,231.2490
2012-12-01,231.2210
2013-01-01,231.6790
2013-02-01,232.9370
2013-03-01,232.2820
2013-04-01,231.7970
2013-05-01,231.8930
2013-06-01,232.4450
2013-07-01,232.9000
2013-08-01,233.4560
2013-09-01,233.5440
2013-10-01,233.6690
2013-11-01,234.1000
2013-12-01,234.7190
2014-01-01,235.2880
2014-02-01,235.5470
2014-03-01,236.0280
2014-04-01,236.4680
2014-05-01,236.9180
2014-06-01,237.2310
2014-07-01,237.4980
2014-08-01,237.4600
2014-09-01,237.4770
2014-10-01,237.4300
2014-11-01,236.9830
2014-12-01,236.2520
2015-01-01,234.7470
2015-02-01,235.3420
2015-03-01,235.9760
2015-04-01,236.2220
2015-05-01,237.0010
2015-06-01,237.6570
2015-07-01,238.0340
2015-08-01,238.0330
2015-09-01,237.4980
2015-10-01,237.7330
2015-11-01,238.0170
2015-12-01,237.7610
2016-01-01,237.6520
2016-02-01,237.3360
2016-03-01,238.0800
2016-04-01,238.9920
2016-05-01,239.5570
2016-06-01,240.2220
2016-07-01,240.1010
2016-08-01,240.5450
2016-09-01,241.1760
2016-10-01,241.7410
2016-11-01,242.0260
2016-12-01,242.6370
2017-01-01,243.6180
2017-02-01,244.0060
2017-03-01,243.8920
2017-04-01,244.1930
2017-05-01,244.0040
2017-06-01,244.1630
2017-07-01,244.2430
2017-08-01,245.1830
2017-09-01,246.4350
2017-10-01,246.6260
2017-11-01,247.2840
2017-12-01,247.8050
2018-01-01,248.8590
2018-02-01,249.5290
2018-03-01,249.5770
2018-04-01,250.2270
2018-05-01,250.7920
2018-06-01,251.0180
2018-07-01,251.2140
2018-08-01,251.6630
2018-09-01,252.1820
2018-10-01,252.7720
2018-11-01,252.5940
2018-12-01,252.7670
2019-01-01,252.5610
2019-02-01,253.3190
2019-03-01,254.2770
2019-04-01,255.2330
2019-05-01,255.2960
2019-06-01,255.2130
2019-07-01,255.8020
2019-08-01,256.0360
2019-09-01,256.4300
2019-10-01,257.1550
2019-11-01,257.8790
2019-12-01,258.6300
2020-01-01,259.1270
2020-02-01,259.2500
2020-03-01,258.0760
2020-04-01,256.0320
2020-05-01,255.8020
2020-06-01,257.0420
2020-07-01,258.3520
2020-08-01,259.3160
2020-09-01,259.9970
2020-10-01,260.3190
2020-11-01,260.9110
2020-12-01,262.0450
2021-01-01,262.6870
2021-02-01,263.5790
2021-03-01,264.9610
2021-04-01,266.6140
2021-05-01,268.3830
2021-06-01,270.6540
2021-07-01,271.9030
2021-08-01,272.6760
2021-09-01,273.9100
2021-10-01,276.5500
2021-11-01,278.9190
2021-12-01,280.8450
2022-01-01,282.5430
2022-02-01,284.5000
2022-03-01,287.6740
2022-04-01,288.5610
2022-05-01,291.2980
2022-06-01,294.9570
2022-07-01,294.9130
2022-08-01,295.0970
2022-09-01,296.3490
2022-10-01,298.0070
2022-11-01,298.7860
2022-12-01,298.8320
2023-01-01,300.4200
2023-02-01,301.4500
2023-03-01,301.8210
2023-04-01,302.8450
2023-05-01,303.3340
2023-06-01,304.0140
2023-07-01,304.6090
2023-08-01,306.0820
2023-09-01,307.2760
2023-10-01,307.6960
2023-11-01,308.1480
2023-12-01,308.7410
2024-01-01,309.6980
2024-02-01,310.9670
2024-03-01,312.3450
2024-04-01,313.0230
2024-05-01,313.1750
2024-06-01,313.0440
2024-07-01,313.5690
2024-08-01,314.0620
2024-09-01,314.7320
2024-10-01,315.6310
2024-11-01,316.5280
2024-12-01,317.6040
2025-01-01,318.9610
2025-02-01,319.6790
2025-03-01,319.7850
2025-04-01,320.3020
2025-05-01,320.6200
2025-06-01,321.4350
2025-07-01,322.1690
2025-08-01,323.2910
2025-09-01,324.2450
2025-11-01,325.0630
2025-12-01,326.0310
2026-01-01,326.5880
2026-02-01,327.4600
2026-03-01,330.2930
2026-04-01,332.4070
2026-05-01,333.9790
2026-06-01,332.5680
